Transaction ID,Product name,Product ID,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date
TC18724,4x6 Product B Kyoto,PA73,6,24.599999999999998,CHmobile app,Anthony,Olson,Anthony.Olson@example.com,Kyoto,2024-04-27
TC18725,4x6 Product C Chongqing,PA168,2,6.2,CHweb,Kenneth,Picton,Kenneth.Picton@example.com,Chongqing,2024-04-27
TC18726,5x7 Product A Fukuoka,PA665,2,6.4,CHmobile app,Daniel,Richmond,Daniel.Richmond@example.com,Fukuoka,2024-04-27
TC18727,5x7 Product D Okayama,PA873,2,7.8,CHmobile app,Margaretta,Magill,Margaretta.Magill@example.com,Okayama,2024-04-27
TC18728,6x11 Product D Adelaide,PA1865,6,15.0,CHmobile app,Mike,Hackett,Mike.Hackett@example.com,Adelaide,2024-04-27
TC18729,6x11 Product D Ho Chi Minh City,PA1894,3,6.6000000000000005,CHmobile app,Mary,Patillo,Mary.Patillo@example.com,Ho Chi Minh City,2024-04-27
TC18730,6x9 Product C Kobe,PA1458,3,7.199999999999999,CHweb,Nicole,Brooks,Nicole.Brooks@example.com,Kobe,2024-04-27
TC18731,5x7 Product A Ulaanbaatar,PA726,4,7.6,CHweb,Kathy,Fitts,Kathy.Fitts@example.com,Ulaanbaatar,2024-04-27
TC18732,5.5x8.5 Product A Ahmedabad,PA1044,5,17.0,CHmobile app,Hilda,Whitehead,Hilda.Whitehead@example.com,Ahmedabad,2024-04-27
TC18733,4.25x6 Product E Hobart,PA615,2,6.0,CHweb,Anne,Sams,Anne.Sams@example.com,Hobart,2024-04-27
TC18734,4.25x6 Product C Colombo,PA525,3,10.8,CHweb,Irene,Lade,Irene.Lade@example.com,Colombo,2024-04-27
TC18735,5.5x8.5 Product D Incheon,PA1215,3,10.2,CHmobile app,David,Guillen,David.Guillen@example.com,Incheon,2024-04-27
TC18736,5.5x8.5 Product D Kyoto,PA1195,2,6.0,CHmobile app,Gary,Wells,Gary.Wells@example.com,Kyoto,2024-04-27
TC18737,4.25x6 Product A Hobart,PA351,6,18.0,CHweb,William,Fuentes,William.Fuentes@example.com,Hobart,2024-04-27
TC18738,6x11 Product A Daegu,PA1678,2,7.0,CHin-store,Eartha,Stamm,Eartha.Stamm@example.com,Daegu,2024-04-27
TC18739,5.5x8.5 Product B Islamabad,PA1115,3,6.300000000000001,CHweb,Margaret,Habbyshaw,Margaret.Habbyshaw@example.com,Islamabad,2024-04-27
TC18740,4.25x6 Product D Hong Kong,PA566,4,9.6,CHin-store,Tori,Joyner,Tori.Joyner@example.com,Hong Kong,2024-04-27
TC18741,6x11 Product B Bangkok,PA1757,4,12.8,CHweb,Patricia,Movius,Patricia.Movius@example.com,Bangkok,2024-04-27
TC18742,5x7 Product B Surat,PA782,3,13.200000000000001,CHweb,Zachary,Knight,Zachary.Knight@example.com,Surat,2024-04-27
TC18743,5x7 Product C Tokyo,PA793,3,6.8999999999999995,CHmobile app,Hilda,Velazquez,Hilda.Velazquez@example.com,Tokyo,2024-04-27
TC18744,5.5x8.5 Product E Lahore,PA1312,1,3.9,CHweb,Shane,Brown,Shane.Brown@example.com,Lahore,2024-04-27
TC18745,6x11 Product D Dhaka,PA1908,3,12.299999999999999,CHin-store,Lisa,Barton,Lisa.Barton@example.com,Dhaka,2024-04-27
TC18746,4x6 Product A Karachi,PA57,4,7.2,CHweb,Jesse,Brennan,Jesse.Brennan@example.com,Karachi,2024-04-27
TC18747,6x9 Product A Sendai,PA1328,3,6.0,CHmobile app,Harold,Gonzales,Harold.Gonzales@example.com,Sendai,2024-04-27
TC18748,4.25x6 Product C Fukuoka,PA467,5,8.5,CHmobile app,Julia,Dyer,Julia.Dyer@example.com,Fukuoka,2024-04-27
TC18749,6x11 Product C Sydney,PA1806,4,16.8,CHmobile app,Steven,Hern,Steven.Hern@example.com,Sydney,2024-04-27
