Transaction ID,Product name,Product ID,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date
TC10911,5x7 Product C Hiroshima,PA801,6,19.200000000000003,CHweb,Tara,Gutierrez,Tara.Gutierrez@example.com,Hiroshima,2024-04-03
TC10912,4.25x6 Product A Colombo,PA393,2,5.8,CHmobile app,Joseph,Semple,Joseph.Semple@example.com,Colombo,2024-04-03
TC10913,5x7 Product B Nagoya,PA729,1,2.6,CHmobile app,Patricia,Giebler,Patricia.Giebler@example.com,Nagoya,2024-04-03
TC10914,4.25x6 Product E Incheon,PA621,6,18.0,CHweb,Mary,Noyes,Mary.Noyes@example.com,Incheon,2024-04-03
TC10915,4.25x6 Product D Sapporo,PA532,4,9.2,CHin-store,Kirk,Delamora,Kirk.Delamora@example.com,Sapporo,2024-04-03
TC10916,4.25x6 Product E Lahore,PA652,5,10.0,CHweb,Patricia,Richmon,Patricia.Richmon@example.com,Lahore,2024-04-03
TC10917,5x7 Product C Hyderabad,PA843,3,11.399999999999999,CHweb,Mary,Rodas,Mary.Rodas@example.com,Hyderabad,2024-04-03
TC10918,4.25x6 Product C Yangon,PA523,2,5.8,CHweb,Jaclyn,High,Jaclyn.High@example.com,Yangon,2024-04-03
TC10919,4x6 Product B Naha,PA82,3,7.800000000000001,CHweb,Bill,Champion,Bill.Champion@example.com,Naha,2024-04-03
TC10920,6x9 Product B Shanghai,PA1417,5,19.0,CHweb,Geraldo,Wise,Geraldo.Wise@example.com,Shanghai,2024-04-03
TC10921,5x7 Product B Kitakyushu,PA738,3,7.199999999999999,CHmobile app,Susan,Lee,Susan.Lee@example.com,Kitakyushu,2024-04-03
TC10922,4.25x6 Product D Bangkok,PA569,5,15.0,CHmobile app,Richard,Woodhams,Richard.Woodhams@example.com,Bangkok,2024-04-03
TC10923,6x11 Product B Bangkok,PA1757,6,19.200000000000003,CHin-store,Heather,Morales,Heather.Morales@example.com,Bangkok,2024-04-03
TC10924,6x9 Product B Islamabad,PA1445,3,5.699999999999999,CHin-store,Brian,Hodde,Brian.Hodde@example.com,Islamabad,2024-04-03
TC10925,4.25x6 Product D Incheon,PA555,1,2.9,CHweb,Melissa,Marion,Melissa.Marion@example.com,Incheon,2024-04-03
TC10926,6x9 Product B Osaka,PA1388,1,3.3,CHweb,Cathleen,Velazquez,Cathleen.Velazquez@example.com,Osaka,2024-04-03
TC10927,4.25x6 Product E Chongqing,PA630,2,6.0,CHweb,Mercy,Sasser,Mercy.Sasser@example.com,Chongqing,2024-04-03
TC10928,6x11 Product E Saitama,PA1924,5,19.5,CHweb,Lauren,Dunsford,Lauren.Dunsford@example.com,Saitama,2024-04-03
TC10929,6x11 Product A Kaohsiung,PA1690,3,8.399999999999999,CHweb,Kenneth,Matthews,Kenneth.Matthews@example.com,Kaohsiung,2024-04-03
TC10930,5.5x8.5 Product C Ho Chi Minh City,PA1168,6,9.600000000000001,CHmobile app,Bill,Mcmahon,Bill.Mcmahon@example.com,Ho Chi Minh City,2024-04-03
TC10931,4.25x6 Product C Kuala Lumpur,PA505,2,8.4,CHweb,Victor,Kell,Victor.Kell@example.com,Kuala Lumpur,2024-04-03
TC10932,4x6 Product B Incheon,PA93,6,11.399999999999999,CHin-store,Mary,Latour,Mary.Latour@example.com,Incheon,2024-04-03
TC10933,4.25x6 Product A Darwin,PA350,6,25.799999999999997,CHmobile app,Elissa,Landfried,Elissa.Landfried@example.com,Darwin,2024-04-03
TC10934,6x9 Product A Sendai,PA1328,2,4.0,CHweb,Willie,Kessler,Willie.Kessler@example.com,Sendai,2024-04-03
TC10935,4.25x6 Product B Sydney,PA420,3,11.399999999999999,CHweb,Tommy,Mendoza,Tommy.Mendoza@example.com,Sydney,2024-04-03
TC10936,4.25x6 Product C Naha,PA478,3,11.100000000000001,CHweb,Jennifer,King,Jennifer.King@example.com,Naha,2024-04-03
TC10937,4.25x6 Product B Surat,PA452,6,12.600000000000001,CHmobile app,Kathleen,Jones,Kathleen.Jones@example.com,Surat,2024-04-03
TC10938,4.25x6 Product E Sendai,PA602,1,1.9,CHweb,Sally,Smith,Sally.Smith@example.com,Sendai,2024-04-03
TC10939,5x7 Product E Sapporo,PA928,6,19.200000000000003,CHweb,Kathleen,Smith,Kathleen.Smith@example.com,Sapporo,2024-04-03
TC10940,5.5x8.5 Product B Hanoi,PA1101,1,3.1,CHmobile app,Steven,Miller,Steven.Miller@example.com,Hanoi,2024-04-03
