Transaction ID,Product name,Product ID,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date
TC8607,6x9 Product C Islamabad,PA1511,2,4.2,CHmobile app,Beverly,Cena,Beverly.Cena@example.com,Islamabad,2024-03-27
TC8608,5.5x8.5 Product A Dhaka,PA1050,3,8.100000000000001,CHmobile app,Joseph,Slaughter,Joseph.Slaughter@example.com,Dhaka,2024-03-27
TC8609,5x7 Product D Hobart,PA879,5,20.5,CHweb,Jacqueline,Malinowski,Jacqueline.Malinowski@example.com,Hobart,2024-03-27
TC8610,4.25x6 Product A Hobart,PA351,6,18.0,CHweb,Alice,Sanchez,Alice.Sanchez@example.com,Hobart,2024-03-27
TC8611,6x11 Product B Ulaanbaatar,PA1782,2,5.6,CHin-store,Brian,Todd,Brian.Todd@example.com,Ulaanbaatar,2024-03-27
TC8612,5.5x8.5 Product E Dalian,PA1283,6,15.600000000000001,CHmobile app,Robert,Wagner,Robert.Wagner@example.com,Dalian,2024-03-27
TC8613,5.5x8.5 Product A Perth,PA1013,5,12.5,CHmobile app,Bradly,Garland,Bradly.Garland@example.com,Perth,2024-03-27
TC8614,5x7 Product B Taipei,PA765,1,2.1,CHmobile app,Mary,Myatt,Mary.Myatt@example.com,Taipei,2024-03-27
TC8615,4x6 Product A Lahore,PA58,3,12.600000000000001,CHin-store,Richard,Garland,Richard.Garland@example.com,Lahore,2024-03-27
TC8616,6x11 Product C Perth,PA1805,2,3.8,CHweb,Marleen,Love,Marleen.Love@example.com,Perth,2024-03-27
TC8617,5x7 Product E Hiroshima,PA933,4,7.2,CHweb,Robert,Washington,Robert.Washington@example.com,Hiroshima,2024-03-27
TC8618,6x9 Product A Darwin,PA1340,3,6.0,CHweb,Stephen,Guillen,Stephen.Guillen@example.com,Darwin,2024-03-27
TC8619,6x9 Product B Ulaanbaatar,PA1452,4,12.4,CHmobile app,Shakira,Felty,Shakira.Felty@example.com,Ulaanbaatar,2024-03-27
TC8620,5x7 Product C Islamabad,PA851,4,15.6,CHweb,Eva,Trinkle,Eva.Trinkle@example.com,Islamabad,2024-03-27
TC8621,6x11 Product D Fukuoka,PA1853,5,16.0,CHweb,Bambi,Richmond,Bambi.Richmond@example.com,Fukuoka,2024-03-27
TC8622,4x6 Product E Guangzhou,PA297,3,4.5,CHmobile app,Gerald,Wilder,Gerald.Wilder@example.com,Guangzhou,2024-03-27
TC8623,6x9 Product E Kathmandu,PA1646,3,8.7,CHweb,Keith,Lacombe,Keith.Lacombe@example.com,Kathmandu,2024-03-27
TC8624,4x6 Product E Sydney,PA288,3,4.5,CHin-store,Debra,Esquivel,Debra.Esquivel@example.com,Sydney,2024-03-27
