Transaction ID,Product name,Product ID,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date,Imported_File
TC19302,6x11 Product B Okayama,PA1731,4,17.2,CHmobile app,Wanda,Palomo,Wanda.Palomo@example.com,Okayama,2024-04-29,DailySales_20242904_1004.csv
TC19303,5x7 Product B Sydney,PA750,5,17.0,CHweb,Kathy,Dye,Kathy.Dye@example.com,Sydney,2024-04-29,DailySales_20242904_1004.csv
TC19304,4x6 Product E Dalian,PA293,4,12.8,CHweb,Eric,Sloan,Eric.Sloan@example.com,Dalian,2024-04-29,DailySales_20242904_1004.csv
TC19305,6x11 Product A Sydney,PA1674,5,17.0,CHmobile app,Peter,Dacus,Peter.Dacus@example.com,Sydney,2024-04-29,DailySales_20242904_1004.csv
TC19306,6x9 Product E Naha,PA1600,2,3.2,CHmobile app,Kelvin,Henderson,Kelvin.Henderson@example.com,Naha,2024-04-29,DailySales_20242904_1004.csv
TC19307,5.5x8.5 Product E Karachi,PA1311,4,12.4,CHmobile app,Sharon,Spaeth,Sharon.Spaeth@example.com,Karachi,2024-04-29,DailySales_20242904_1004.csv
TC19308,6x9 Product E Sagamihara,PA1598,2,4.0,CHmobile app,Tina,Givens,Tina.Givens@example.com,Sagamihara,2024-04-29,DailySales_20242904_1004.csv
TC19309,5x7 Product C Kyoto,PA799,1,4.4,CHmobile app,Laurel,Hair,Laurel.Hair@example.com,Kyoto,2024-04-29,DailySales_20242904_1004.csv
TC19310,6x9 Product B Adelaide,PA1403,2,8.0,CHin-store,Christopher,Castellano,Christopher.Castellano@example.com,Adelaide,2024-04-29,DailySales_20242904_1004.csv
TC19311,4x6 Product A Colombo,PA63,3,5.699999999999999,CHmobile app,Everette,Cole,Everette.Cole@example.com,Colombo,2024-04-29,DailySales_20242904_1004.csv
TC19312,4x6 Product D Kolkata,PA250,6,10.2,CHweb,Brenda,Estrada,Brenda.Estrada@example.com,Kolkata,2024-04-29,DailySales_20242904_1004.csv
